x,y
1000,4.53470247e-07
1258.92541,4.06494727e-07
1584.89319,3.64386712e-07
1995.26231,3.26641986e-07
2511.88643,2.92808582e-07
3162.27766,2.62481366e-07
3981.07171,2.3529719e-07
5011.87234,2.10930541e-07
6309.57344,1.89089645e-07
7943.28235,1.69512971e-07
10000,1.51966102e-07
12589.2541,1.36238924e-07
15848.9319,1.22143114e-07
19952.6231,1.09509883e-07
25118.8643,9.81879549e-08
31622.7766,8.80417556e-08
39810.7171,7.8949788e-08
50118.7234,7.08031781e-08
63095.7344,6.35043701e-08
79432.8235,5.69659584e-08
100000,5.11096397e-08
125892.541,4.58652741e-08
158489.319,4.11700445e-08
199526.231,3.69677017e-08
251188.643,3.32078884e-08
316227.766,2.98455323e-08
398107.171,2.68403016e-08
501187.234,2.41561151e-08
630957.344,2.1760701e-08
794328.235,1.96251992e-08
1000000,1.77237996e-08
1258925.41,1.60334141e-08
1584893.19,1.45333752e-08
1995262.31,1.32051587e-08
2511886.43,1.20321271e-08
3162277.66,1.09992904e-08
3981071.71,1.00930845e-08
5011872.34,9.30116811e-09
6309573.44,8.61223961e-09
7943282.35,8.01587857e-09
10000000,7.5024165e-09
12589254.1,7.06284022e-09
15848931.9,6.68872951e-09
19952623.1,6.37222676e-09
25118864.3,6.10603258e-09
31622776.6,5.88341808e-09
39810717.1,5.69824314e-09
50118723.4,5.54497099e-09
63095734.4,5.41867193e-09
79432823.5,5.31501256e-09
100000000,5.23023019e-09
125892541,5.1610948e-09
158489319,5.10486199e-09
199526231,5.05922088e-09
251188643,5.02224065e-09
316227766,4.99231827e-09
398107171,4.9681295e-09
501187234,4.9485841e-09
630957344,4.9327856e-09
794328235,4.91999546e-09
1000000000,4.9096008e-09
