vg,id_ref
0,1.14869924e-13
0.05,4.2458582e-13
0.1,1.56904966e-12
0.15,5.79615657e-12
0.2,2.13955269e-11
0.25,7.88668171e-11
0.3,2.89937566e-10
0.35,1.06055369e-09
0.4,3.84364399e-09
0.45,1.37037389e-08
0.5,4.75578881e-08
0.55,1.5872619e-07
0.6,5.05344731e-07
0.65,1.52357996e-06
0.7,4.20005525e-06
0.75,9.87202143e-06
0.8,1.89489039e-05
0.85,3.04435915e-05
0.9,4.31546017e-05
0.95,5.63243394e-05
1,6.95781587e-05
1.05,8.27477602e-05
1.1,9.57548232e-05
1.15,0.00010855402
1.2,0.000121109682
1.25,0.000133388015
1.3,0.000145355547
1.35,0.000156979652
1.4,0.000168229541
1.45,0.000179077119
1.5,0.000189497604
1.55,0.000199469902
1.6,0.000208976784
1.65,0.000218004925
1.7,0.000226544833
1.75,0.000234590698
1.8,0.000242140192
