x,y
1000,6.07187549e-07
1258.92541,5.51223223e-07
1584.89319,5.00418258e-07
1995.26231,4.54297128e-07
2511.88643,4.12428145e-07
3162.27766,3.74419424e-07
3981.07171,3.39915209e-07
5011.87234,3.08592545e-07
6309.57344,2.80158257e-07
7943.28235,2.54346205e-07
10000,2.30914792e-07
12589.2541,2.09644703e-07
15848.9319,1.90336854e-07
19952.6231,1.72810525e-07
25118.8643,1.56901673e-07
31622.7766,1.42461392e-07
39810.7171,1.29354522e-07
50118.7234,1.17458384e-07
63095.7344,1.06661629e-07
79432.8235,9.68631999e-08
100000,8.79713804e-08
125892.541,7.990294e-08
158489.319,7.25823529e-08
199526.231,6.59410914e-08
251188.643,5.99169829e-08
316227.766,5.44536279e-08
398107.171,4.94998702e-08
501187.234,4.50093171e-08
630957.344,4.09399026e-08
794328.235,3.72534912e-08
1000000,3.39155172e-08
1258925.41,3.08946566e-08
1584893.19,2.81625281e-08
1995262.31,2.56934195e-08
2511886.43,2.34640376e-08
3162277.66,2.14532784e-08
3981071.71,1.96420143e-08
5011872.34,1.80128974e-08
6309573.44,1.65501764e-08
7943282.35,1.52395243e-08
10000000,1.4067878e-08
12589254.1,1.30232872e-08
15848931.9,1.20947747e-08
19952623.1,1.12722078e-08
25118864.3,1.05461835e-08
31622776.6,9.9079299e-09
39810717.1,9.34922589e-09
50118723.4,8.86234057e-09
63095734.4,8.43999359e-09
79432823.5,8.07533449e-09
100000000,7.76193796e-09
125892541,7.49381028e-09
158489319,7.26540135e-09
199526231,7.07161667e-09
251188643,6.90782483e-09
316227766,6.76985737e-09
398107171,6.65399954e-09
501187234,6.55697236e-09
630957344,6.47590683e-09
794328235,6.40831245e-09
1000000000,6.35204188e-09
