x,y
1000,1.00849045
1258.92541,1.00849045
1584.89319,1.00849045
1995.26231,1.00849045
2511.88643,1.00849045
3162.27766,1.00849045
3981.07171,1.00849045
5011.87234,1.00849045
6309.57344,1.00849045
7943.28235,1.00849045
10000,1.00849045
12589.2541,1.00849045
15848.9319,1.00849045
19952.6231,1.00849045
25118.8643,1.00849045
31622.7766,1.00849045
39810.7171,1.00849045
50118.7234,1.00849045
63095.7344,1.00849045
79432.8235,1.00849045
100000,1.00849045
125892.541,1.00849045
158489.319,1.00849045
199526.231,1.00849045
251188.643,1.00849045
316227.766,1.00849045
398107.171,1.00849045
501187.234,1.00849045
630957.344,1.00849045
794328.235,1.00849045
1000000,1.00849045
1258925.41,1.00849045
1584893.19,1.00849045
1995262.31,1.00849045
2511886.43,1.00849045
3162277.66,1.00849045
3981071.71,1.00849045
5011872.34,1.00849045
6309573.44,1.00849045
7943282.35,1.00849045
10000000,1.00849045
12589254.1,1.00849045
15848931.9,1.00849045
19952623.1,1.00849045
25118864.3,1.00849045
31622776.6,1.00849045
39810717.1,1.00849045
50118723.4,1.00849044
63095734.4,1.00849044
79432823.5,1.00849043
100000000,1.00849042
125892541,1.0084904
158489319,1.00849037
199526231,1.00849032
251188643,1.00849024
316227766,1.00849012
398107171,1.00848993
501187234,1.00848963
630957344,1.00848915
794328235,1.00848839
1000000000,1.00848718
