x,y
1000,6.43726247e-06
1258.92541,5.73721657e-06
1584.89319,5.11330004e-06
1995.26231,4.5572339e-06
2511.88643,4.06163948e-06
3162.27766,3.61994055e-06
3981.07171,3.22627604e-06
5011.87234,2.87542224e-06
6309.57344,2.56272355e-06
7943.28235,2.28403065e-06
10000,2.03564544e-06
12589.2541,1.81427202e-06
15848.9319,1.61697288e-06
19952.6231,1.44112999e-06
25118.8643,1.28441002e-06
31622.7766,1.14473338e-06
39810.7171,1.02024667e-06
50118.7234,9.09298007e-07
63095.7344,8.10415178e-07
79432.8235,7.22286065e-07
100000,6.4374125e-07
125892.541,5.7373849e-07
158489.319,5.11348891e-07
199526.231,4.55744582e-07
251188.643,4.06187726e-07
316227.766,3.62020734e-07
398107.171,3.22657537e-07
501187.234,2.8757581e-07
630957.344,2.56310038e-07
794328.235,2.28445345e-07
1000000,2.03611982e-07
1258925.41,1.81480426e-07
1584893.19,1.61757005e-07
1995262.31,1.44179999e-07
2511886.43,1.28516172e-07
3162277.66,1.14557675e-07
3981071.71,1.02119285e-07
5011872.34,9.10359506e-08
6309573.44,8.11606016e-08
7943282.35,7.23621949e-08
10000000,6.4523977e-08
12589254.1,5.75419342e-08
15848931.9,5.13234111e-08
19952623.1,4.57858807e-08
25118864.3,4.0855848e-08
31622776.6,3.64678728e-08
39810717.1,3.25636989e-08
50118723.4,2.90914777e-08
63095734.4,2.60050757e-08
79432823.5,2.32634552e-08
100000000,2.08301217e-08
125892541,1.86726273e-08
158489319,1.67621245e-08
199526231,1.50729632e-08
251188643,1.35823239e-08
316227766,1.22698822e-08
398107171,1.11175001e-08
501187234,1.01089401e-08
630957344,9.22960036e-09
794328235,8.46627289e-09
1000000000,7.80692525e-09
